Dim,Runtime,Heap,Stack,Code,CodeLines
32,5.5,4288,16255,1645,1299
33,5.9,4352,16111,1922,1541
34,5.5,4352,15359,1922,1541
35,6.7,4352,19953,1922,1541
36,5.9,4352,16307,1922,1541
37,9.1,4352,16373,1811,1417
38,9.3,4352,16393,1811,1417
39,9.2,4352,12287,1811,1417
40,9.0,4352,16125,1811,1417
41,9.9,4352,16531,1811,1417
42,11.5,4352,12287,1811,1417
43,9.7,4352,13983,1811,1417
44,11.2,4352,19161,1811,1417
45,9.2,4352,13311,1811,1417
46,9.2,4352,12287,1811,1417
47,9.0,4352,15791,1811,1417
48,9.2,4352,12287,1811,1417
49,8.3,4416,16409,1925,1526
50,8.2,4416,12287,1925,1526
51,8.4,4416,15371,1925,1526
52,8.2,4416,17669,1925,1526
53,8.3,4416,12287,1925,1526
54,8.4,4416,16897,1925,1526
55,11.5,4416,12287,1796,1385
56,11.5,4416,12287,1796,1385
57,12.5,4416,13563,1796,1385
58,12.4,4416,13951,1796,1385
59,12.6,4416,15359,1796,1385
60,11.5,4416,16471,1796,1385
61,11.7,4416,14841,1796,1385
62,11.6,4416,17241,1796,1385
63,11.6,4416,12287,1796,1385
64,11.5,4416,13301,1796,1385
65,13.2,4736,15199,2250,1659
66,13.4,4736,17505,2250,1659
67,13.7,4736,15581,2250,1659
68,13.2,4736,12783,2250,1659
69,13.3,4736,15031,2250,1659
70,13.6,4736,12287,2250,1659
71,13.8,4736,17153,2250,1659
72,13.8,4736,14327,2250,1659
73,12.2,4544,17169,2009,1551
74,12.9,4544,15711,2009,1551
75,12.2,4544,14207,2009,1551
76,12.2,4544,14815,2009,1551
77,12.0,4544,12287,2009,1551
78,12.1,4544,18753,2009,1551
79,12.2,4544,12287,2009,1551
80,12.0,4544,15839,2009,1551
81,12.1,4544,16457,2009,1551
82,20.3,4544,15845,2050,1575
83,20.1,4544,15327,2050,1575
84,20.1,4544,15821,2050,1575
85,21.2,4544,12287,2050,1575
86,20.0,4544,16243,2050,1575
87,20.4,4544,16351,2050,1575
88,20.4,4544,15475,2050,1575
89,20.3,4544,15871,2050,1575
90,20.2,4544,16123,2050,1575
91,20.4,4544,12287,2050,1575
92,20.3,4544,12287,2050,1575
93,20.2,4544,19201,2050,1575
94,20.0,4544,15339,2050,1575
95,20.9,4544,16665,2050,1575
96,20.1,4544,18469,2050,1575
97,20.8,5056,18969,2554,1827
98,19.9,5056,16175,2554,1827
99,20.0,5056,16417,2554,1827
100,20.1,5056,12287,2554,1827
101,20.0,5056,15353,2554,1827
102,22.2,5056,12287,2554,1827
103,20.2,5056,15927,2554,1827
