Dim,Runtime,Heap,Stack,Code,CodeLines
32,601.7,32824,14847,1031,722
33,2692.8,32824,17957,1180,838
34,461.1,32824,16391,1191,840
35,767.6,32824,16611,1196,844
36,1371.1,32824,12287,1202,857
37,589.2,32824,12287,1255,909
38,522.5,32824,12287,1266,911
39,795.1,32824,16319,1223,867
40,527.4,32824,15967,1239,890
41,1411.9,32824,12287,1196,846
42,2356.9,32824,16105,1287,928
43,1008.0,32824,15083,1276,916
44,434.6,32824,12287,1226,865
45,536.8,32824,16203,1279,917
46,438.5,32824,15867,1282,919
47,532.6,32824,12287,1401,958
48,805.7,32824,17669,1195,838
49,866.0,32824,16367,1256,890
50,950.2,32824,16303,1211,844
51,1028.9,32824,15723,1232,864
52,450.9,32824,16371,1278,909
53,496.4,32824,15871,1235,865
54,719.1,32824,12287,1238,867
55,1377.8,32824,16119,1449,958
56,467.9,32824,16351,1235,862
57,442.6,32824,16205,1288,914
58,555.1,32824,12287,1291,916
59,1432.7,32824,16485,1473,974
60,488.6,32824,18569,1294,917
61,1018.9,32824,16383,1461,958
62,631.2,32824,16313,1463,958
63,427.8,32824,12287,1346,974
64,423.9,32824,16913,1167,794
65,542.5,32824,16777,1332,926
66,2555.6,32824,12287,1327,912
67,523.9,32824,16309,1508,961
68,781.3,32824,14335,1330,913
69,668.3,32824,13855,1360,942
70,816.9,32824,15349,1361,942
71,1355.6,32824,14327,1535,980
72,533.0,32824,15799,1497,948
73,558.4,32824,16043,1499,948
74,466.4,32824,18705,1365,942
75,497.7,32824,12287,1366,942
76,1073.7,32824,16529,1367,942
77,499.3,32824,16401,1547,980
78,1231.4,32824,16613,1369,942
79,1135.6,32824,12287,1551,980
80,625.2,32824,15859,1347,926
81,682.3,32824,16111,1380,958
82,780.5,32824,15609,1573,964
83,832.1,32824,15831,1374,942
84,2372.9,32824,12287,1577,964
85,513.2,32824,16343,1579,964
86,1463.0,32824,16453,1377,942
87,1031.5,32824,17089,1583,964
88,1119.5,32824,14327,1585,964
89,667.4,32824,15989,1380,942
90,543.0,32824,12287,1381,942
91,722.6,32824,15833,1591,964
92,436.7,32824,12287,1593,964
93,454.7,32824,12287,1595,964
94,451.7,32824,12287,1597,964
95,1311.1,32824,16897,1386,942
96,887.8,32824,12287,1395,958
97,2044.3,32824,16367,1635,964
98,752.2,32824,15851,1421,942
99,538.2,32824,13263,1422,942
100,444.2,32824,16451,1657,980
101,494.0,32824,14319,1659,980
102,452.6,32824,16295,1661,980
103,733.2,32824,14335,1663,980
104,444.9,32824,19469,1665,980
105,945.9,32824,14263,1428,942
106,1243.3,32824,12799,1669,980
107,1436.6,32824,16127,1671,980
108,440.5,32824,17161,1673,980
