Dim,Status,Runtime,Heap,IR Cnt,Code Size B,Func Size B
8,PASS,1,64,1596,1922,368
10,PASS,1,80,1830,1922,368
12,PASS,1,80,2274,1922,368
14,PASS,1,96,2508,1922,368
16,PASS,2,96,3928,1922,368
18,PASS,2,128,4162,1922,368
20,PASS,1,128,4840,1922,368
22,PASS,2,144,5074,1922,368
24,PASS,1,144,5704,1922,368
26,PASS,2,160,5938,1922,368
28,PASS,2,160,6382,1922,368
30,PASS,2,176,6955,1922,368
32,PASS,2,176,9392,1922,368
34,PASS,3,192,9626,1922,368
36,PASS,3,192,10304,1922,368
38,PASS,3,208,10538,1922,368
40,PASS,3,208,11636,1922,368
42,PASS,3,224,11870,1922,368
44,PASS,3,224,12548,1922,368
46,PASS,3,240,12782,1922,368
48,PASS,4,240,13784,1922,368
50,PASS,3,256,14018,1922,368
52,PASS,3,256,14462,1922,368
54,PASS,3,272,15035,1922,368
56,PASS,4,272,15899,1922,368
58,PASS,4,288,16133,1922,368
60,PASS,4,288,16916,1922,368
62,PASS,4,304,17150,1922,368
64,PASS,5,304,21960,1922,368
66,PASS,5,320,22194,1922,368
68,PASS,5,320,22872,1922,368
70,PASS,5,336,23106,1922,368
72,PASS,5,336,24648,1922,368
74,PASS,6,352,24882,1922,368
76,PASS,6,352,25560,1922,368
78,PASS,6,368,25794,1922,368
80,PASS,7,368,27288,1922,368
82,PASS,6,384,27522,1922,368
84,PASS,7,384,28200,1922,368
86,PASS,7,400,28434,1922,368
88,PASS,6,400,29532,1922,368
90,PASS,7,416,30315,1922,368
92,PASS,7,416,30993,1922,368
94,PASS,7,432,31227,1922,368
96,PASS,7,432,32424,1922,368
98,PASS,8,448,32658,1922,368
100,PASS,7,448,33102,1922,368
102,PASS,7,464,33675,1922,368
104,PASS,8,464,34539,1922,368
106,PASS,7,480,34773,1922,368
108,PASS,8,480,36210,1922,368
110,PASS,8,496,36444,1922,368
112,PASS,9,496,37494,1922,368
114,PASS,8,512,38067,1922,368
116,PASS,9,512,38511,1922,368
118,PASS,9,528,38745,1922,368
120,PASS,9,528,39948,1922,368
122,PASS,9,544,40182,1922,368
124,PASS,9,544,40626,1922,368
126,PASS,9,560,41958,1922,368
128,PASS,11,560,50416,1922,368
130,PASS,11,576,50650,1922,368
132,PASS,11,576,51328,1922,368
134,PASS,11,592,51562,1922,368
136,PASS,12,592,53104,1922,368
138,PASS,12,608,53338,1922,368
140,PASS,12,608,54016,1922,368
142,PASS,12,624,54250,1922,368
144,PASS,12,624,56632,1922,368
146,PASS,12,640,56866,1922,368
148,PASS,12,640,57544,1922,368
150,PASS,12,656,57778,1922,368
152,PASS,13,656,59320,1922,368
154,PASS,13,672,59554,1922,368
156,PASS,13,672,60232,1922,368
158,PASS,13,688,60466,1922,368
160,PASS,13,688,62752,1922,368
162,PASS,14,704,62986,1922,368
164,PASS,14,704,63664,1922,368
166,PASS,13,720,63898,1922,368
168,PASS,14,720,64996,1922,368
170,PASS,14,736,65779,1922,368
172,PASS,14,736,66457,1922,368
174,PASS,15,752,66691,1922,368
176,PASS,14,752,68629,1922,368
178,PASS,15,768,68863,1922,368
180,PASS,15,768,70090,1922,368
182,PASS,15,784,70324,1922,368
184,PASS,16,784,71422,1922,368
186,PASS,15,800,71656,1922,368
188,PASS,16,800,72334,1922,368
190,PASS,16,816,73117,1922,368
192,PASS,16,816,74704,1922,368
194,PASS,16,832,74938,1922,368
196,PASS,16,832,75382,1922,368
198,PASS,17,848,75955,1922,368
200,PASS,17,848,76819,1922,368
202,PASS,17,864,77053,1922,368
204,PASS,17,864,78490,1922,368
206,PASS,17,880,78724,1922,368
208,PASS,17,880,80428,1922,368
210,PASS,17,896,81001,1922,368
212,PASS,17,896,81445,1922,368
214,PASS,17,912,81679,1922,368
216,PASS,18,912,83536,1922,368
218,PASS,18,928,83770,1922,368
220,PASS,18,928,84214,1922,368
222,PASS,19,944,84787,1922,368
224,PASS,18,944,86863,1922,368
226,PASS,19,960,87097,1922,368
228,PASS,18,960,87880,1922,368
230,PASS,18,976,88114,1922,368
232,PASS,19,976,88978,1922,368
234,PASS,19,992,89551,1922,368
236,PASS,19,992,89995,1922,368
238,PASS,19,1008,90988,1922,368
240,PASS,20,1008,93031,1922,368
242,PASS,19,1024,93265,1922,368
244,PASS,20,1024,93709,1922,368
246,PASS,20,1040,94282,1922,368
248,PASS,20,1040,95146,1922,368
250,PASS,20,1056,95380,1922,368
252,PASS,21,1056,96922,1922,368
254,PASS,20,1072,97156,1922,368
256,PASS,25,1072,114008,1922,368
258,PASS,25,1104,114242,1922,368
260,PASS,24,1104,114920,1922,368
262,PASS,24,1120,115154,1922,368
264,PASS,24,1120,116696,1922,368
266,PASS,25,1136,116930,1922,368
268,PASS,25,1136,117608,1922,368
270,PASS,25,1152,117842,1922,368
272,PASS,26,1152,121088,1922,368
274,PASS,26,1168,121322,1922,368
276,PASS,26,1168,122000,1922,368
278,PASS,25,1184,122234,1922,368
280,PASS,26,1184,123776,1922,368
282,PASS,26,1200,124010,1922,368
284,PASS,26,1200,124688,1922,368
286,PASS,26,1216,124922,1922,368
288,PASS,27,1216,128120,1922,368
290,PASS,27,1232,128354,1922,368
292,PASS,27,1232,129032,1922,368
294,PASS,27,1248,129266,1922,368
296,PASS,28,1248,130808,1922,368
298,PASS,27,1264,131042,1922,368
300,PASS,28,1264,131720,1922,368
302,PASS,28,1280,131954,1922,368
304,PASS,29,1280,134336,1922,368
306,PASS,29,1296,135539,1922,368
308,PASS,29,1296,136217,1922,368
310,PASS,29,1312,136451,1922,368
312,PASS,30,1312,137993,1922,368
314,PASS,28,1328,138227,1922,368
316,PASS,29,1328,138905,1922,368
318,PASS,30,1344,139139,1922,368
320,PASS,29,1344,142040,1922,368
322,PASS,29,1360,142274,1922,368
324,PASS,31,1360,142952,1922,368
326,PASS,30,1376,143186,1922,368
328,PASS,30,1376,144284,1922,368
330,PASS,30,1392,145067,1922,368
332,PASS,30,1392,145745,1922,368
334,PASS,32,1408,145979,1922,368
336,PASS,31,1408,147917,1922,368
338,PASS,32,1424,148151,1922,368
340,PASS,31,1424,150452,1922,368
342,PASS,31,1440,150686,1922,368
344,PASS,32,1440,151784,1922,368
346,PASS,32,1456,152018,1922,368
348,PASS,38,1456,152696,1922,368
350,PASS,32,1472,153479,1922,368
352,PASS,33,1472,156023,1922,368
354,PASS,33,1488,156257,1922,368
356,PASS,34,1488,156935,1922,368
358,PASS,32,1504,157169,1922,368
360,PASS,34,1504,158816,1922,368
362,PASS,33,1520,159050,1922,368
364,PASS,40,1520,159728,1922,368
366,PASS,34,1536,159962,1922,368
368,PASS,33,1536,161900,1922,368
370,PASS,34,1552,162683,1922,368
372,PASS,34,1552,163361,1922,368
374,PASS,35,1568,164774,1922,368
376,PASS,34,1568,165872,1922,368
378,PASS,35,1584,166106,1922,368
380,PASS,34,1584,167333,1922,368
382,PASS,36,1600,167567,1922,368
384,PASS,35,1600,169304,1922,368
386,PASS,36,1616,169538,1922,368
388,PASS,36,1616,169982,1922,368
390,PASS,35,1632,170555,1922,368
392,PASS,36,1632,171419,1922,368
394,PASS,36,1648,171653,1922,368
396,PASS,36,1648,173090,1922,368
398,PASS,36,1664,173324,1922,368
400,PASS,37,1664,175028,1922,368
402,PASS,37,1680,175601,1922,368
404,PASS,36,1680,176045,1922,368
406,PASS,37,1696,176279,1922,368
408,PASS,38,1696,179420,1922,368
410,PASS,37,1712,179654,1922,368
412,PASS,38,1712,180098,1922,368
414,PASS,38,1728,180671,1922,368
416,PASS,38,1728,182771,1922,368
