Dim,Status,Runtime,Heap,IR Cnt,Code Size B,Func Size B
8,PASS,3,128,5904,2122,560
9,PASS,3,160,5730,2122,560
10,PASS,4,176,7230,2122,560
11,PASS,4,192,10637,2122,560
12,PASS,4,160,9632,2122,560
13,PASS,5,240,14697,2122,560
14,PASS,5,208,12334,2122,560
15,PASS,5,208,11816,2122,560
16,PASS,6,192,15392,2122,560
17,PASS,7,304,24809,2122,560
18,PASS,6,240,15636,2122,560
19,PASS,10,304,30861,2122,560
20,PASS,6,256,19080,2122,560
21,PASS,7,288,19894,2122,560
22,PASS,8,304,26526,2122,560
23,PASS,12,352,44957,2122,560
24,PASS,9,272,24724,2122,560
25,PASS,8,320,23478,2122,560
26,PASS,11,352,35614,2122,560
27,PASS,9,304,25215,2122,560
28,PASS,10,320,31184,2122,560
29,PASS,19,448,71081,2122,560
30,PASS,10,352,30672,2122,560
31,PASS,23,448,81117,2122,560
32,PASS,14,336,38032,2122,560
33,PASS,19,400,42026,2122,560
34,PASS,17,432,57774,2122,560
35,PASS,11,384,38500,2122,560
36,PASS,13,368,39576,2122,560
37,PASS,34,544,115209,2122,560
38,PASS,20,464,70846,2122,560
39,PASS,16,448,56080,2122,560
40,PASS,16,416,47372,2122,560
41,PASS,39,592,141257,2122,560
42,PASS,15,448,49692,2122,560
43,PASS,42,592,155277,2122,560
44,PASS,18,464,63360,2122,560
45,PASS,14,480,49015,2122,560
46,PASS,28,544,100974,2122,560
47,PASS,51,640,185309,2122,560
48,PASS,23,464,60428,2122,560
49,PASS,17,512,61754,2122,560
50,PASS,17,512,58836,2122,560
51,PASS,26,560,90164,2122,560
52,PASS,24,544,83432,2122,560
53,PASS,64,736,235337,2122,560
54,PASS,19,528,63090,2122,560
55,PASS,22,560,78504,2122,560
56,PASS,22,544,75332,2122,560
57,PASS,29,624,110194,2122,560
58,PASS,41,672,156126,2122,560
59,PASS,82,784,291341,2122,560
60,PASS,23,576,75296,2122,560
61,PASS,81,832,311337,2122,560
62,PASS,49,704,177166,2122,560
63,PASS,23,608,78791,2122,560
64,PASS,29,592,90688,2122,560
65,PASS,28,672,103486,2122,560
66,PASS,28,656,99684,2122,560
67,PASS,98,880,375309,2122,560
68,PASS,36,688,131544,2122,560
69,PASS,43,736,156230,2122,560
70,PASS,27,672,93680,2122,560
71,PASS,109,928,421277,2122,560
72,PASS,29,656,95760,2122,560
73,PASS,121,976,445257,2122,560
74,PASS,68,832,248254,2122,560
75,PASS,26,704,93371,2122,560
76,PASS,44,752,159584,2122,560
77,PASS,34,752,122286,2122,560
78,PASS,36,768,130656,2122,560
79,PASS,135,1024,521181,2122,560
80,PASS,36,736,113188,2122,560
81,PASS,29,752,100080,2122,560
82,PASS,81,912,302286,2122,560
83,PASS,149,1072,575117,2122,560
84,PASS,36,768,118984,2122,560
85,PASS,42,848,163410,2122,560
86,PASS,88,944,331294,2122,560
87,PASS,72,896,240224,2122,560
88,PASS,42,816,147188,2122,560
89,PASS,178,1168,661001,2122,560
90,PASS,35,832,119242,2122,560
91,PASS,44,864,159524,2122,560
92,PASS,60,896,223632,2122,560
93,PASS,72,960,272206,2122,560
