Dim,Status,Runtime,Heap,IR Cnt,Code Size B,Func Size B
8,PASS,3,48,4844,1898,544
10,PASS,5,64,7662,1898,544
12,PASS,6,48,9938,1898,544
14,PASS,12,64,17400,1898,544
16,PASS,11,48,17206,1898,544
18,PASS,14,64,21208,1898,544
20,PASS,21,80,29050,1898,544
22,PASS,42,96,55860,1898,544
24,PASS,27,64,36600,1898,544
26,PASS,80,112,87270,1898,544
28,PASS,53,80,65034,1898,544
30,PASS,54,80,64222,1898,544
32,PASS,48,64,61136,1898,544
34,PASS,161,128,181170,1898,544
36,PASS,69,64,80674,1898,544
38,PASS,235,128,246348,1898,544
40,PASS,99,80,110716,1898,544
42,PASS,135,80,144096,1898,544
44,PASS,200,96,207938,1898,544
46,PASS,421,144,419880,1898,544
48,PASS,127,64,137570,1898,544
50,PASS,197,80,198282,1898,544
52,PASS,329,112,325386,1898,544
54,PASS,182,64,183856,1898,544
56,PASS,253,80,250816,1898,544
58,PASS,870,176,808278,1898,544
60,PASS,257,80,251934,1898,544
62,PASS,1068,176,977280,1898,544
64,PASS,232,64,229562,1898,544
66,PASS,507,96,466432,1898,544
68,PASS,745,128,680530,1898,544
70,PASS,486,80,442440,1898,544
72,PASS,336,64,316456,1898,544
74,PASS,1821,208,1621710,1898,544
76,PASS,1041,128,929202,1898,544
78,PASS,823,112,730770,1898,544
80,PASS,470,80,436366,1898,544
82,PASS,2525,224,2179290,1898,544
84,PASS,646,80,574058,1898,544
86,PASS,2927,224,2500500,1898,544
88,PASS,922,96,810184,1898,544
90,PASS,670,80,589846,1898,544
92,PASS,1847,144,1593578,1898,544
94,PASS,3828,240,3234480,1898,544
96,PASS,603,64,543708,1898,544
98,PASS,1146,80,981292,1898,544
100,PASS,931,80,795658,1898,544
102,PASS,1808,128,1532410,1898,544
104,PASS,1494,112,1274060,1898,544
106,PASS,5536,272,4584510,1898,544
108,PASS,865,64,745678,1898,544
110,PASS,1681,96,1398636,1898,544
112,PASS,1176,80,1003306,1898,544
114,PASS,2534,128,2090076,1898,544
116,PASS,3722,176,3089962,1898,544
118,PASS,7598,288,6265668,1898,544
120,PASS,1215,80,1024608,1898,544
122,PASS,8408,304,6905910,1898,544
124,PASS,4600,176,3744858,1898,544
126,PASS,1621,80,1348368,1898,544
128,PASS,1058,64,917540,1898,544
130,PASS,2686,112,2181546,1898,544
132,PASS,2282,96,1868162,1898,544
134,PASS,11291,320,9085020,1898,544
136,PASS,3294,128,2674996,1898,544
138,PASS,4418,144,3588748,1898,544
140,PASS,2190,80,1796502,1898,544
142,PASS,13454,336,10766520,1898,544
144,PASS,1549,64,1293922,1898,544
146,PASS,14635,352,11679930,1898,544
148,PASS,7824,208,6246330,1898,544
150,PASS,2304,80,1876458,1898,544
152,PASS,4571,128,3658904,1898,544
154,PASS,3773,96,3029156,1898,544
156,PASS,3633,112,2927254,1898,544
158,PASS,18479,368,14726928,1898,544
160,PASS,2187,80,1786424,1898,544
162,PASS,2201,64,1783468,1898,544
164,PASS,10599,224,8418562,1898,544
166,PASS,21474,384,17027340,1898,544
168,PASS,2917,80,2357048,1898,544
170,PASS,5688,128,4516214,1898,544
172,PASS,12310,224,9673218,1898,544
174,PASS,8789,176,6962038,1898,544
176,PASS,4095,96,3276178,1898,544
178,PASS,26535,416,20908458,1898,544
180,PASS,3037,80,2442270,1898,544
182,PASS,5921,112,4676686,1898,544
184,PASS,7982,144,6294112,1898,544
186,PASS,10811,176,8432952,1898,544
188,PASS,15984,240,12541754,1898,544
190,PASS,7808,128,6139404,1898,544
192,PASS,2760,64,2248262,1898,544
194,PASS,34438,448,26943330,1898,544
