Dim,Status,Runtime,Heap,IR Cnt,Code Size B,Func Size B
8,PASS,4,48,7178,1810,560
9,PASS,11,48,8118,1810,560
10,PASS,6,64,10714,1810,560
11,PASS,8,72,13762,1810,560
12,PASS,8,48,13762,1810,560
13,PASS,14,112,21718,1810,560
14,PASS,13,88,21718,1810,560
15,PASS,13,64,21718,1810,560
16,PASS,14,48,22730,1810,560
17,PASS,18,104,27680,1810,560
18,PASS,18,64,27680,1810,560
19,PASS,25,120,36526,1810,560
20,PASS,25,80,36526,1810,560
21,PASS,32,184,46222,1810,560
22,PASS,33,144,46222,1810,560
23,PASS,33,104,46222,1810,560
24,PASS,33,64,46222,1810,560
25,PASS,48,80,61102,1810,560
26,PASS,46,104,58288,1810,560
27,PASS,45,64,58288,1810,560
28,PASS,63,160,77514,1810,560
29,PASS,69,120,77514,1810,560
30,PASS,62,80,77514,1810,560
31,PASS,58,104,75714,1810,560
32,PASS,59,64,75714,1810,560
33,PASS,82,184,98118,1810,560
34,PASS,84,144,98118,1810,560
35,PASS,83,104,98118,1810,560
36,PASS,82,64,98118,1810,560
37,PASS,117,200,131222,1810,560
38,PASS,115,160,131222,1810,560
39,PASS,117,120,131222,1810,560
40,PASS,115,80,131222,1810,560
41,PASS,160,240,171072,1810,560
42,PASS,161,200,171072,1810,560
43,PASS,168,160,171072,1810,560
44,PASS,163,120,171072,1810,560
45,PASS,160,80,171072,1810,560
46,PASS,157,144,164814,1810,560
47,PASS,150,104,164814,1810,560
48,PASS,150,64,164814,1810,560
49,PASS,228,120,227406,1810,560
50,PASS,228,80,227406,1810,560
51,PASS,210,184,216792,1810,560
52,PASS,210,144,216792,1810,560
53,PASS,213,104,216792,1810,560
54,PASS,213,64,216792,1810,560
55,PASS,297,280,291082,1810,560
56,PASS,297,240,291082,1810,560
57,PASS,297,200,291082,1810,560
58,PASS,300,160,291082,1810,560
59,PASS,293,120,291082,1810,560
60,PASS,293,80,291082,1810,560
61,PASS,266,184,272970,1810,560
62,PASS,274,144,272970,1810,560
63,PASS,265,104,272970,1810,560
64,PASS,266,64,272970,1810,560
65,PASS,385,344,369418,1810,560
66,PASS,392,304,369418,1810,560
67,PASS,393,264,369418,1810,560
68,PASS,393,224,369418,1810,560
69,PASS,385,184,369418,1810,560
70,PASS,392,144,369418,1810,560
71,PASS,382,104,369418,1810,560
72,PASS,381,64,369418,1810,560
73,PASS,565,160,514386,1810,560
74,PASS,560,120,514386,1810,560
75,PASS,559,80,514386,1810,560
76,PASS,542,240,499694,1810,560
77,PASS,534,200,499694,1810,560
78,PASS,534,160,499694,1810,560
79,PASS,534,120,499694,1810,560
80,PASS,540,80,499694,1810,560
81,PASS,550,64,494666,1810,560
82,PASS,757,400,667422,1810,560
83,PASS,748,360,667422,1810,560
84,PASS,750,320,667422,1810,560
85,PASS,750,280,667422,1810,560
86,PASS,750,240,667422,1810,560
87,PASS,743,200,667422,1810,560
88,PASS,757,160,667422,1810,560
89,PASS,751,120,667422,1810,560
90,PASS,758,80,667422,1810,560
91,PASS,694,264,630342,1810,560
92,PASS,693,224,630342,1810,560
93,PASS,693,184,630342,1810,560
94,PASS,688,144,630342,1810,560
95,PASS,693,104,630342,1810,560
96,PASS,694,64,630342,1810,560
97,PASS,1025,200,888890,1810,560
98,PASS,1029,160,888890,1810,560
99,PASS,1028,120,888890,1810,560
100,PASS,1019,80,888890,1810,560
101,PASS,972,344,852322,1810,560
102,PASS,974,304,852322,1810,560
103,PASS,983,264,852322,1810,560
104,PASS,981,224,852322,1810,560
105,PASS,974,184,852322,1810,560
106,PASS,984,144,852322,1810,560
107,PASS,982,104,852322,1810,560
108,PASS,974,64,852322,1810,560
109,PASS,1358,520,1153210,1810,560
110,PASS,1351,480,1153210,1810,560
111,PASS,1346,440,1153210,1810,560
112,PASS,1346,400,1153210,1810,560
113,PASS,1348,360,1153210,1810,560
114,PASS,1352,320,1153210,1810,560
115,PASS,1352,280,1153210,1810,560
116,PASS,1348,240,1153210,1810,560
117,PASS,1362,200,1153210,1810,560
118,PASS,1347,160,1153210,1810,560
119,PASS,1353,120,1153210,1810,560
120,PASS,1346,80,1153210,1810,560
121,PASS,1904,240,1569962,1810,560
122,PASS,1890,200,1569962,1810,560
123,PASS,1889,160,1569962,1810,560
124,PASS,1889,120,1569962,1810,560
125,PASS,1889,80,1569962,1810,560
126,PASS,1221,144,1061554,1810,560
127,PASS,1220,104,1061554,1810,560
128,PASS,1222,64,1061554,1810,560
129,PASS,1888,320,1556794,1810,560
130,PASS,1883,280,1556794,1810,560
131,PASS,1890,240,1556794,1810,560
132,PASS,1873,200,1556794,1810,560
133,PASS,1891,160,1556794,1810,560
134,PASS,1873,120,1556794,1810,560
135,PASS,1869,80,1556794,1810,560
136,PASS,1743,384,1472282,1810,560
137,PASS,1762,344,1472282,1810,560
138,PASS,1750,304,1472282,1810,560
139,PASS,1743,264,1472282,1810,560
140,PASS,1760,224,1472282,1810,560
141,PASS,1759,184,1472282,1810,560
142,PASS,1749,144,1472282,1810,560
143,PASS,1748,104,1472282,1810,560
144,PASS,1751,64,1472282,1810,560
145,PASS,2545,280,2068750,1810,560
146,PASS,2524,240,2068750,1810,560
147,PASS,2551,200,2068750,1810,560
148,PASS,2552,160,2068750,1810,560
149,PASS,2543,120,2068750,1810,560
150,PASS,2524,80,2068750,1810,560
151,PASS,2440,440,2002518,1810,560
152,PASS,2430,400,2002518,1810,560
153,PASS,2421,360,2002518,1810,560
154,PASS,2445,320,2002518,1810,560
155,PASS,2440,280,2002518,1810,560
156,PASS,2423,240,2002518,1810,560
157,PASS,2427,200,2002518,1810,560
158,PASS,2424,160,2002518,1810,560
159,PASS,2429,120,2002518,1810,560
160,PASS,2441,80,2002518,1810,560
161,PASS,2447,104,2004592,1810,560
162,PASS,2447,64,2004592,1810,560
163,PASS,3362,760,2710758,1810,560
164,PASS,3363,720,2710758,1810,560
165,PASS,3358,680,2710758,1810,560
166,PASS,3355,640,2710758,1810,560
167,PASS,3358,600,2710758,1810,560
168,PASS,3363,560,2710758,1810,560
169,PASS,3384,520,2710758,1810,560
170,PASS,3361,480,2710758,1810,560
171,PASS,3383,440,2710758,1810,560
172,PASS,3379,400,2710758,1810,560
173,PASS,3358,360,2710758,1810,560
174,PASS,3381,320,2710758,1810,560
175,PASS,3368,280,2710758,1810,560
176,PASS,3356,240,2710758,1810,560
177,PASS,3358,200,2710758,1810,560
178,PASS,3359,160,2710758,1810,560
179,PASS,3387,120,2710758,1810,560
180,PASS,3416,80,2710758,1810,560
181,PASS,3144,504,2550350,1810,560
182,PASS,3147,464,2550350,1810,560
183,PASS,3125,424,2550350,1810,560
184,PASS,3125,384,2550350,1810,560
185,PASS,3130,344,2550350,1810,560
186,PASS,3154,304,2550350,1810,560
187,PASS,3147,264,2550350,1810,560
188,PASS,3123,224,2550350,1810,560
189,PASS,3125,184,2550350,1810,560
190,PASS,3123,144,2550350,1810,560
191,PASS,3126,104,2550350,1810,560
192,PASS,3151,64,2550350,1810,560
193,PASS,4558,360,3614450,1810,560
194,PASS,4566,320,3614450,1810,560
195,PASS,4569,280,3614450,1810,560
196,PASS,4534,240,3614450,1810,560
197,PASS,4564,200,3614450,1810,560
198,PASS,4573,160,3614450,1810,560
199,PASS,4536,120,3614450,1810,560
200,PASS,4572,80,3614450,1810,560
201,PASS,4373,664,3494510,1810,560
202,PASS,4374,624,3494510,1810,560
203,PASS,4402,584,3494510,1810,560
204,PASS,4374,544,3494510,1810,560
205,PASS,4385,504,3494510,1810,560
206,PASS,4373,464,3494510,1810,560
207,PASS,4377,424,3494510,1810,560
208,PASS,4383,384,3494510,1810,560
209,PASS,4374,344,3494510,1810,560
210,PASS,4379,304,3494510,1810,560
211,PASS,4413,264,3494510,1810,560
212,PASS,4379,224,3494510,1810,560
213,PASS,4374,184,3494510,1810,560
214,PASS,4404,144,3494510,1810,560
