Dim,Status,Runtime,Heap,IR Cnt,Code Size B,Func Size B
10,PASS,6,600,7534,2466,1072
20,PASS,23,1256,19854,2466,1072
30,PASS,53,1880,37934,2466,1072
40,PASS,99,2664,61614,2466,1072
50,PASS,191,2616,101234,2466,1072
60,PASS,245,3800,124918,2466,1072
70,PASS,461,3512,243700,2466,1072
80,PASS,450,5384,214534,2466,1072
90,PASS,609,5496,293004,2466,1072
100,PASS,854,5832,433804,2466,1072
110,PASS,1576,5320,930800,2466,1072
120,PASS,1129,7792,528204,2466,1072
130,PASS,2547,6200,1536682,2466,1072
140,PASS,2050,7992,896434,2466,1072
150,PASS,2118,8520,1052254,2466,1072
160,PASS,2014,10880,914614,2466,1072
170,PASS,5435,7992,3432334,2466,1072
180,PASS,2819,11704,1314234,2466,1072
190,PASS,7496,8904,4793536,2466,1072
200,PASS,3855,12752,1898504,2466,1072
210,PASS,4971,11656,1978834,2466,1072
220,PASS,6873,12248,3548658,2466,1072
230,PASS,13025,10680,8494076,2466,1072
240,PASS,5053,15856,2322924,2466,1072
250,PASS,7137,11976,3687184,2466,1072
260,PASS,10918,14424,5900734,2466,1072
270,PASS,6934,16136,3259404,2466,1072
280,PASS,9053,17752,3586944,2466,1072
290,PASS,25612,13400,17034490,2466,1072
300,PASS,9459,18416,4683974,2466,1072
310,PASS,31235,14296,20795548,2466,1072
320,PASS,9035,21600,4053014,2466,1072
330,PASS,16489,17944,7854356,2466,1072
340,PASS,23161,18624,13318110,2466,1072
350,PASS,16362,16408,7068156,2466,1072
360,PASS,12583,23328,5891814,2466,1072
370,PASS,52376,16944,35376202,2466,1072
380,PASS,31830,20768,18661762,2466,1072
390,PASS,26059,20992,13093066,2466,1072
400,PASS,17131,25968,8372704,2466,1072
410,PASS,70813,18736,48131222,2466,1072
420,PASS,21942,25480,8968362,2466,1072
430,PASS,81750,19632,55535464,2466,1072
440,PASS,29876,27472,13860246,2466,1072
450,PASS,23106,26048,11567254,2466,1072
460,PASS,54646,25024,33221922,2466,1072
470,PASS,105917,21424,72531436,2466,1072
480,PASS,22529,32128,10401324,2466,1072
490,PASS,36640,22456,16959870,2466,1072
500,PASS,31028,28312,16053454,2466,1072
510,PASS,54452,27232,29636978,2466,1072
520,PASS,46844,32368,23142862,2466,1072
530,PASS,151478,24112,104019458,2466,1072
540,PASS,30921,35208,14825124,2466,1072
550,PASS,52211,25240,21591000,2466,1072
560,PASS,39511,35976,16088664,2466,1072
570,PASS,74397,30384,41565928,2466,1072
580,PASS,106522,31440,66945054,2466,1072
590,PASS,207721,26672,143530552,2466,1072
600,PASS,41832,38352,20855774,2466,1072
610,PASS,229643,27568,158609170,2466,1072
620,PASS,129252,33600,81855762,2466,1072
630,PASS,52951,35720,22341694,2466,1072
640,PASS,40007,43736,18286294,2466,1072
650,PASS,80933,29520,36071962,2466,1072
660,PASS,71038,39784,30935514,2466,1072
670,PASS,302662,30408,210208504,2466,1072
680,PASS,98074,42016,52491486,2466,1072
690,PASS,127757,36760,74223712,2466,1072
700,PASS,70258,38840,31069434,2466,1072
710,PASS,359742,32216,250151444,2466,1072
720,PASS,55464,47552,26467614,2466,1072
730,PASS,391526,33096,271914046,2466,1072
740,PASS,216643,40032,139613134,2466,1072
750,PASS,74933,40912,39211704,2466,1072
760,PASS,133853,46896,73668598,2466,1072
770,PASS,113305,34632,42052712,2466,1072
780,PASS,110996,46696,51683486,2466,1072
790,PASS,494161,35800,344672260,2466,1072
800,PASS,74696,53680,37090704,2466,1072
810,PASS,75121,47376,36817164,2466,1072
820,PASS,291365,44136,190189374,2466,1072
830,PASS,572497,37552,399724640,2466,1072
840,PASS,95568,52848,40370082,2466,1072
850,PASS,166577,38352,81893454,2466,1072
860,PASS,335826,46560,219572866,2466,1072
870,PASS,247456,45928,149794478,2466,1072
880,PASS,127490,55808,54823806,2466,1072
890,PASS,705210,40280,492886414,2466,1072
900,PASS,101544,57296,51658124,2466,1072
910,PASS,174421,40712,70336534,2466,1072
920,PASS,229005,56736,131563878,2466,1072
930,PASS,299052,49120,183117316,2466,1072
940,PASS,435413,50712,287069682,2466,1072
950,PASS,225713,42904,114935016,2466,1072
960,PASS,98825,64528,46825644,2466,1072
970,PASS,910846,43848,638140606,2466,1072
980,PASS,156261,55000,73761734,2466,1072
990,PASS,168820,55640,69258068,2466,1072
1000,PASS,135389,63552,70858954,2466,1072
1100,PASS,220768,60376,85500418,2466,1072
1200,PASS,181830,78176,92393774,2466,1072
1300,PASS,341232,71160,143068414,2466,1072
1400,PASS,303155,87952,137951734,2466,1072
1500,PASS,324621,91696,172693224,2466,1072
1600,PASS,325088,106336,164145904,2466,1072
1700,PASS,696226,92624,325530590,2466,1072
1800,PASS,439956,115776,228494624,2466,1072
1900,PASS,940957,103728,457192402,2466,1072
2000,PASS,582610,129680,310193954,2466,1072
2100,PASS,722658,127216,337026512,2466,1072
2200,PASS,937158,136512,340338486,2466,1072
2300,PASS,1584206,125344,817832882,2466,1072
2400,PASS,786209,160080,407098574,2466,1072
2500,PASS,1021145,140224,562679704,2466,1072
2600,PASS,1439552,161056,569983182,2466,1072
2700,PASS,1058339,173624,559787774,2466,1072
2800,PASS,1295203,179504,605849934,2466,1072
2900,PASS,3010999,157312,1653001294,2466,1072
3000,PASS,1395642,188880,755623224,2466,1072
3100,PASS,3629861,168112,2023318642,2466,1072
