Dim,Status,Runtime,Heap,IR Cnt,Code Size B,Func Size B
8,PASS,4,672,6166,1898,512
10,PASS,7,1008,10698,1898,512
12,PASS,10,1360,16598,1898,512
14,PASS,16,1824,25950,1898,512
16,PASS,25,2304,36942,1898,512
18,PASS,43,2912,50002,1898,512
20,PASS,49,3520,66918,1898,512
22,PASS,72,4240,90150,1898,512
24,PASS,92,4976,109910,1898,512
26,PASS,126,5824,144474,1898,512
28,PASS,153,6688,173814,1898,512
30,PASS,184,7664,207022,1898,512
32,PASS,237,8656,257006,1898,512
34,PASS,299,9760,311010,1898,512
36,PASS,340,10880,350662,1898,512
38,PASS,420,12112,428598,1898,512
40,PASS,474,13360,479382,1898,512
42,PASS,568,14720,551338,1898,512
44,PASS,656,16096,643350,1898,512
46,PASS,779,17584,745854,1898,512
48,PASS,852,19088,810766,1898,512
50,PASS,994,20704,934002,1898,512
52,PASS,1127,22336,1048998,1898,512
54,PASS,1251,24080,1158550,1898,512
56,PASS,1419,25840,1286614,1898,512
58,PASS,1641,27712,1467258,1898,512
60,PASS,1716,29600,1543222,1898,512
62,PASS,2012,31600,1783950,1898,512
64,PASS,2192,33616,1927950,1898,512
66,PASS,2359,35744,2087554,1898,512
68,PASS,2637,37888,2309574,1898,512
70,PASS,2828,40144,2476950,1898,512
72,PASS,3088,42416,2663158,1898,512
74,PASS,3482,44800,3000330,1898,512
76,PASS,3730,47200,3207510,1898,512
78,PASS,4020,49712,3424606,1898,512
80,PASS,4294,52240,3665358,1898,512
82,PASS,4792,54880,4060050,1898,512
84,PASS,4985,57536,4199270,1898,512
86,PASS,5592,60304,4672614,1898,512
88,PASS,5834,63088,4902486,1898,512
90,PASS,6191,65984,5154298,1898,512
92,PASS,6775,68896,5646198,1898,512
94,PASS,7367,71920,6076590,1898,512
96,PASS,7590,74960,6281454,1898,512
98,PASS,8289,78112,6799074,1898,512
100,PASS,8663,81280,7140102,1898,512
102,PASS,9308,84560,7599478,1898,512
104,PASS,9880,87856,8055190,1898,512
106,PASS,10667,91264,8669994,1898,512
108,PASS,10989,94688,8915542,1898,512
110,PASS,11720,98224,9489918,1898,512
112,PASS,12342,101776,9976974,1898,512
114,PASS,13142,105440,10582450,1898,512
116,PASS,13904,109120,11233830,1898,512
118,PASS,14783,112912,11912838,1898,512
120,PASS,15048,116720,12064342,1898,512
122,PASS,16375,120640,13150650,1898,512
124,PASS,17071,124576,13696950,1898,512
126,PASS,17667,128624,14078878,1898,512
128,PASS,18748,132688,14988558,1898,512
130,PASS,19662,136864,15615042,1898,512
132,PASS,20405,141056,16199878,1898,512
134,PASS,21846,145360,17372310,1898,512
136,PASS,22646,149680,17910294,1898,512
138,PASS,23618,154112,18702346,1898,512
140,PASS,24328,158560,19275990,1898,512
142,PASS,26086,163120,20637150,1898,512
144,PASS,26477,167696,20927950,1898,512
146,PASS,28413,172384,22412754,1898,512
148,PASS,29544,177088,23189094,1898,512
150,PASS,30136,181904,23731942,1898,512
152,PASS,31746,186736,24956758,1898,512
154,PASS,32937,191680,25874970,1898,512
156,PASS,34029,196640,26705654,1898,512
158,PASS,36200,201712,28344558,1898,512
160,PASS,36815,206800,28829166,1898,512
162,PASS,38456,212000,30068962,1898,512
164,PASS,40301,217216,31484550,1898,512
166,PASS,42204,222544,32830134,1898,512
168,PASS,42623,227888,33079766,1898,512
170,PASS,44678,233344,34782570,1898,512
172,PASS,46654,238816,36286998,1898,512
174,PASS,48023,244400,37355710,1898,512
176,PASS,49523,250000,38476302,1898,512
178,PASS,52267,255712,40408818,1898,512
180,PASS,52257,261440,40544998,1898,512
182,PASS,55015,267280,42621318,1898,512
184,PASS,57032,273136,44147670,1898,512
186,PASS,58919,279104,45590074,1898,512
188,PASS,61431,285088,47308854,1898,512
190,PASS,62759,291184,48496974,1898,512
192,PASS,64391,297296,49675278,1898,512
194,PASS,67989,303520,52213890,1898,512
196,PASS,69004,309760,53175558,1898,512
198,PASS,70731,316112,54470662,1898,512
200,PASS,73003,322480,56187542,1898,512
202,PASS,76591,328960,58893450,1898,512
204,PASS,77828,335456,59631190,1898,512
206,PASS,81595,342064,62436894,1898,512
208,PASS,82922,348688,63416526,1898,512
210,PASS,84220,355424,64459282,1898,512
212,PASS,88554,362176,67706598,1898,512
214,PASS,91526,369040,69944550,1898,512
216,PASS,92001,375920,70434934,1898,512
218,PASS,96648,382912,73914138,1898,512
220,PASS,97556,389920,74635638,1898,512
222,PASS,101149,397040,77358958,1898,512
224,PASS,103248,404176,78910190,1898,512
226,PASS,107908,411424,82298274,1898,512
228,PASS,109040,418688,83212166,1898,512
230,PASS,112932,426064,85867062,1898,512
232,PASS,116009,433456,88259478,1898,512
234,PASS,117881,440960,89856970,1898,512
236,PASS,122416,448480,93258390,1898,512
238,PASS,124907,456112,95066430,1898,512
240,PASS,126205,463760,96027022,1898,512
242,PASS,132081,471520,100412850,1898,512
244,PASS,135860,479296,103021350,1898,512
246,PASS,138804,487184,105152134,1898,512
248,PASS,142223,495088,107738326,1898,512
250,PASS,145320,503104,110278842,1898,512
252,PASS,147412,511136,111352054,1898,512
254,PASS,154219,519280,116597070,1898,512
256,PASS,156721,527440,118433934,1898,512
258,PASS,160493,535728,121250626,1898,512
260,PASS,162619,544016,123145542,1898,512
262,PASS,169441,552416,127900950,1898,512
264,PASS,169650,560832,128411350,1898,512
266,PASS,175416,569360,132609162,1898,512
268,PASS,180359,577904,136348374,1898,512
