Dim,Status,Runtime,Heap,IR Cnt,Code Size B,Func Size B
8,PASS,2,144,4152,1794,416
10,PASS,1,192,6324,1794,416
12,PASS,2,192,8960,1794,416
14,PASS,3,240,12060,1794,416
16,PASS,3,240,15624,1794,416
18,PASS,4,304,19652,1794,416
20,PASS,5,304,24144,1794,416
22,PASS,7,352,29100,1794,416
24,PASS,7,352,34520,1794,416
26,PASS,9,400,40404,1794,416
28,PASS,9,400,46752,1794,416
30,PASS,11,448,53564,1794,416
32,PASS,12,448,60840,1794,416
34,PASS,13,496,68580,1794,416
36,PASS,15,496,76784,1794,416
38,PASS,17,544,85452,1794,416
40,PASS,19,544,94584,1794,416
42,PASS,20,592,104180,1794,416
44,PASS,22,592,114240,1794,416
46,PASS,25,640,124764,1794,416
48,PASS,27,640,135752,1794,416
50,PASS,29,688,147204,1794,416
52,PASS,31,688,159120,1794,416
54,PASS,33,736,171500,1794,416
56,PASS,37,736,184344,1794,416
58,PASS,39,784,197652,1794,416
60,PASS,42,784,211424,1794,416
62,PASS,44,832,225660,1794,416
64,PASS,47,832,240360,1794,416
66,PASS,50,880,255524,1794,416
68,PASS,52,880,271152,1794,416
70,PASS,56,928,287244,1794,416
72,PASS,66,928,303800,1794,416
74,PASS,62,976,320820,1794,416
76,PASS,66,976,338304,1794,416
78,PASS,69,1024,356252,1794,416
80,PASS,73,1024,374664,1794,416
82,PASS,77,1072,393540,1794,416
84,PASS,80,1072,412880,1794,416
86,PASS,84,1120,432684,1794,416
88,PASS,89,1120,452952,1794,416
90,PASS,94,1168,473684,1794,416
92,PASS,98,1168,494880,1794,416
94,PASS,101,1216,516540,1794,416
96,PASS,105,1216,538664,1794,416
98,PASS,110,1264,561252,1794,416
100,PASS,115,1264,584304,1794,416
102,PASS,119,1312,607820,1794,416
104,PASS,123,1312,631800,1794,416
106,PASS,128,1360,656244,1794,416
108,PASS,133,1360,681152,1794,416
110,PASS,138,1408,706524,1794,416
112,PASS,143,1408,732360,1794,416
114,PASS,149,1456,758660,1794,416
116,PASS,154,1456,785424,1794,416
118,PASS,159,1504,812652,1794,416
120,PASS,164,1504,840344,1794,416
122,PASS,176,1552,868500,1794,416
124,PASS,175,1552,897120,1794,416
126,PASS,187,1600,926204,1794,416
128,PASS,194,1600,955752,1794,416
130,PASS,193,1648,985764,1794,416
132,PASS,205,1648,1016240,1794,416
134,PASS,204,1696,1047180,1794,416
136,PASS,210,1696,1078584,1794,416
138,PASS,217,1744,1110452,1794,416
140,PASS,229,1744,1142784,1794,416
142,PASS,230,1792,1175580,1794,416
144,PASS,236,1792,1208840,1794,416
146,PASS,243,1840,1242564,1794,416
148,PASS,249,1840,1276752,1794,416
150,PASS,256,1888,1311404,1794,416
152,PASS,269,1888,1346520,1794,416
154,PASS,276,1936,1382100,1794,416
156,PASS,277,1936,1418144,1794,416
158,PASS,284,1984,1454652,1794,416
160,PASS,298,1984,1491624,1794,416
162,PASS,299,2032,1529060,1794,416
164,PASS,306,2032,1566960,1794,416
166,PASS,313,2080,1605324,1794,416
168,PASS,327,2080,1644152,1794,416
170,PASS,334,2128,1683444,1794,416
172,PASS,341,2128,1723200,1794,416
174,PASS,344,2176,1763420,1794,416
176,PASS,352,2176,1804104,1794,416
178,PASS,368,2224,1845252,1794,416
180,PASS,374,2224,1886864,1794,416
182,PASS,377,2272,1928940,1794,416
184,PASS,386,2272,1971480,1794,416
186,PASS,400,2320,2014484,1794,416
188,PASS,408,2320,2057952,1794,416
190,PASS,416,2368,2101884,1794,416
192,PASS,426,2368,2146280,1794,416
194,PASS,428,2416,2191140,1794,416
196,PASS,436,2416,2236464,1794,416
198,PASS,451,2464,2282252,1794,416
200,PASS,462,2464,2328504,1794,416
202,PASS,469,2512,2375220,1794,416
204,PASS,478,2512,2422400,1794,416
206,PASS,487,2560,2470044,1794,416
208,PASS,492,2560,2518152,1794,416
210,PASS,501,2608,2566724,1794,416
212,PASS,516,2608,2615760,1794,416
214,PASS,525,2656,2665260,1794,416
216,PASS,531,2656,2715224,1794,416
218,PASS,547,2704,2765652,1794,416
220,PASS,550,2704,2816544,1794,416
222,PASS,559,2752,2867900,1794,416
224,PASS,572,2752,2919720,1794,416
226,PASS,581,2800,2972004,1794,416
228,PASS,591,2800,3024752,1794,416
230,PASS,607,2848,3077964,1794,416
232,PASS,619,2848,3131640,1794,416
234,PASS,628,2896,3185780,1794,416
