Dim,Status,Runtime,Heap,IR Cnt,Code Size B,Func Size B
8,PASS,2,224,3946,2034,448
9,PASS,2,304,4910,2034,448
10,PASS,2,304,5982,2034,448
11,PASS,1,304,7162,2034,448
12,PASS,2,304,8450,2034,448
13,PASS,2,384,9846,2034,448
14,PASS,3,384,11350,2034,448
15,PASS,2,384,12962,2034,448
16,PASS,2,384,14682,2034,448
17,PASS,3,480,16510,2034,448
18,PASS,4,480,18446,2034,448
19,PASS,3,480,20490,2034,448
20,PASS,5,480,22642,2034,448
21,PASS,5,560,24902,2034,448
22,PASS,5,560,27270,2034,448
23,PASS,6,560,29746,2034,448
24,PASS,6,560,32330,2034,448
25,PASS,7,640,35022,2034,448
26,PASS,7,640,37822,2034,448
27,PASS,7,640,40730,2034,448
28,PASS,8,640,43746,2034,448
29,PASS,8,720,46870,2034,448
30,PASS,9,720,50102,2034,448
31,PASS,10,720,53442,2034,448
32,PASS,10,720,56890,2034,448
33,PASS,11,800,60446,2034,448
34,PASS,11,800,64110,2034,448
35,PASS,12,800,67882,2034,448
36,PASS,13,800,71762,2034,448
37,PASS,20,880,75750,2034,448
38,PASS,15,880,79846,2034,448
39,PASS,15,880,84050,2034,448
40,PASS,16,880,88362,2034,448
41,PASS,16,960,92782,2034,448
42,PASS,17,960,97310,2034,448
43,PASS,17,960,101946,2034,448
44,PASS,19,960,106690,2034,448
45,PASS,20,1040,111542,2034,448
46,PASS,21,1040,116502,2034,448
47,PASS,21,1040,121570,2034,448
48,PASS,22,1040,126746,2034,448
49,PASS,23,1120,132030,2034,448
50,PASS,24,1120,137422,2034,448
51,PASS,26,1120,142922,2034,448
52,PASS,27,1120,148530,2034,448
53,PASS,26,1200,154246,2034,448
54,PASS,28,1200,160070,2034,448
55,PASS,29,1200,166002,2034,448
56,PASS,29,1200,172042,2034,448
57,PASS,30,1280,178190,2034,448
58,PASS,33,1280,184446,2034,448
59,PASS,33,1280,190810,2034,448
60,PASS,34,1280,197282,2034,448
61,PASS,37,1360,203862,2034,448
62,PASS,38,1360,210550,2034,448
63,PASS,39,1360,217346,2034,448
64,PASS,39,1360,224250,2034,448
65,PASS,41,1440,231262,2034,448
66,PASS,41,1440,238382,2034,448
67,PASS,42,1440,245610,2034,448
